username,articleTitle,likeStatus,skipStatus
thh,Bryan Kohbherger can face death penalty if convicted in trial of slain Idaho college students,didn't like,didn't skip
thh,Bryan Kohbherger can face death penalty if convicted in trial of slain Idaho college students,didn't like,didn't skip
thh,Samsung Galaxy S25 Ultra leaked dummy units reveal rounded corners and new design details - PhoneArena,like
thh,"Education is life",like
thh,"Education is life",like
thh,health is important,like
thh,Senate Republicans deliver a message to Trump: Gaetz’s confirmation is in jeopardy - POLITICO,like
thh,"i love u",like
thh,girlll,didn't like,didn't skip
thh,Northwest U.S. sees ‘Bomb cyclone’ kill 1 and knock out power to half a million homes - PBS NewsHour,didn't like,skip
thh,Disney shares rally on ‘Deadpool’-driven earnings boost - Financial Times,like
thh,Walmart Q3 Revenue Hits $169 Billion,didn't like,skip
thh,Walmart Q3 Revenue Hits $169 Billion,didn't like,skip
thh,Cleveland launches formal bid for a WNBA team - CNBC,like
thh,Liam Payne’s Funeral: Former One Direction Bandmates Attend Service Today - Forbes,like
thh,Samsung Galaxy S25 Ultra leaked dummy units reveal rounded corners and new design details - PhoneArena,didn't like,didn't skip
thh,Cleveland launches formal bid for a WNBA team - CNBC,didn't like,didn't skip
thh,Liam Payne’s Funeral: Former One Direction Bandmates Attend Service Today - Forbes,like
thh,health is important,like
thh,Cleveland launches formal bid for a WNBA team - CNBC,didn't like,didn't skip
thh,"Education is life",like
thh,"Education is life",like
ttt,"Education is life",didn't like,didn't skip
ttt,"Education is life",didn't like,didn't skip
ttt,Complete digital access to quality FT journalism on any device.,didn't like,didn't skip
thh,Sonny Bono thought about ‘seriously’ killing Cher,didn't like,didn't skip
thh,For the third consecutive year,didn't like,didn't skip
thh,It happened after Cher was so unhappy that she considered jumping f… [+2921 chars],didn't like,didn't skip
thh,Cancel anytime during your trial.,didn't like,didn't skip
thh,For the third consecutive year,didn't like,didn't skip
thh,Complete digital access to quality FT journalism with expert analysis from industry leaders. Pay a year upfront and save 20%.,didn't like,didn't skip
thh,Though it looked like their upset bid was going to come up s… [+4386 chars],didn't like,didn't skip
thh,Complete digital access to quality FT journalism on any device.,didn't like,didn't skip
thh,Complete digital access to quality FT journalism on any device.,didn't like,didn't skip
thh,Could changes be coming to Medicare,didn't like,didn't skip
thh,Northwest U.S. sees ‘Bomb cyclone’ kill 1 and knock out power to half a million homes - PBS NewsHour,didn't like,didn't skip
thh,Cleveland launches formal bid for a WNBA team - CNBC,didn't like,didn't skip
san,Gay MSNBC host Jonathan Capehart said he’s ‘conflicted’ by Trump move to pick Scott Bessent for Treasury - New York Post,didn't like,didn't skip
san,Kohberger's defense team had sought to remove the death penalty … [+1472 chars],didn't like,didn't skip
san,Child dead,didn't like,didn't skip
san,Trump taps Kash Patel for FBI director, an ally who would aid in his effort to upend law enforcement - The Associated Press,didn't like,didn't skip
san,Trump taps Kash Patel for FBI director,didn't like,didn't skip
san,yh jg ker,didn't like,didn't skip
san,After setbacks, Iran sees Lebanon cease-fire as chance to regroup - The Washington Post,didn't like,didn't skip
san,What If “Bat Blood” Could Make Human Hibernation for Interstellar Journeys Possible? - The Daily Galaxy --Great Discoveries Channel,didn't like,didn't skip
Uthpala,"Education is life",like
Uthpala,health is important,didn't like,didn't skip
Uthpala,Tesla Stock Is Down. Kim Kardashian Isn’t Helping. - Barron's,didn't like,didn't skip
Uthpala,Could changes be coming to Medicare,didn't like,didn't skip
Uthpala,Remote work crackdown: How Trump’s DOGE could push federal workers to quit - CNN,didn't like,didn't skip
Uthpala,For the third consecutive year,didn't like,didn't skip
Uthpala,“We could see a bloodbath!” Carlsen & Co. On The Ding-Gukesh World Championship - Chess.com,didn't like,didn't skip
Uthpala,Google seems to have called it quits on making its own Android tablets—again - Ars Technica,didn't like,didn't skip
Uthpala,US finalizes awards to BAE Systems,didn't like,didn't skip
Uthpala,Mike Tomlin: Weather didn’t dictate how much we used Justin Fields - NBC Sports,didn't like,didn't skip
Uthpala,"Education is life",didn't like,skip
